X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.262625673341,44.9447265121129,,MP2021702739        ,3     ,2021/04/22 00:00:00+00,1140,2021/04/22 00:00:00+00,2021/04/22 11:40:00+00,1017,THEFT   ,OTHER THEFT                   ,07 ,2021/04/26 00:00:00+00,,-93.26263,44.94473,-10381948,5612824,Powderhorn Park,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4118
-93.2518548730844,45.0030712207395,0007XX 15TH AVE NE,MP2021702741        ,2     ,2021/04/26 00:00:00+00,931,2021/04/25 00:00:00+00,2021/04/26 09:31:00+00,1400,TMVP    ,THEFT-MOTR VEH PARTS          ,07 ,2021/04/26 00:00:00+00,16174,-93.25185683,45.00307631,-10380749,5622005,Logan Park,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4119
-93.2954231643642,44.9267936636475,0013XX 42ND ST W,MP2021702744        ,5     ,2021/04/23 00:00:00+00,2249,2021/04/23 00:00:00+00,2021/04/23 22:49:00+00,615,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/04/26 00:00:00+00,26013,-93.29542432,44.92679543,-10385599,5610004,East Harriet,2021/04/27 00:00:00+00,2021/04/28 07:00:27+00,4120
-93.2776095722801,44.9856521906302,0003XX 6TH AVE N,MP2021702745        ,1     ,2021/04/26 00:00:00+00,948,2021/04/26 00:00:00+00,2021/04/26 09:48:00+00,930,BIKETF  ,BIKE THEFT                    ,07,2021/04/26 00:00:00+00,16913,-93.27761568,44.98565584,-10383616,5619263,North Loop,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4121
-93.249950444682,44.949215206877,0029XX 17TH AVE S,MP2021702747        ,3     ,2021/04/26 00:00:00+00,958,2021/04/20 00:00:00+00,2021/04/26 09:58:00+00,2100,BIKETF  ,BIKE THEFT                    ,07,2021/04/26 00:00:00+00,21412,-93.24995453,44.94921965,-10380537,5613530,East Phillips,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4122
-93.2396827009846,45.0140903738384,0025XX BUCHANAN ST NE,MP2021702748        ,2     ,2021/04/26 00:00:00+00,959,2021/04/26 00:00:00+00,2021/04/26 09:59:00+00,755,BURGD   ,BURGLARY OF DWELLING          ,06 ,2021/04/26 00:00:00+00,21756,-93.23969051,45.0140921,-10379394,5623740,Audubon Park,2021/04/28 00:00:00+00,2021/04/29 07:03:23+00,4123
-93.2416410283039,45.0059484721141,0012XX 18TH AVE NE,MP2021702750        ,2     ,2021/04/26 00:00:00+00,1017,2021/04/26 00:00:00+00,2021/04/26 10:17:00+00,0,TMVP    ,THEFT-MOTR VEH PARTS          ,07 ,2021/04/26 00:00:00+00,19035,-93.24164397,45.00595198,-10379612,5622458,Windom Park,2021/04/28 00:00:00+00,2021/04/29 07:03:23+00,4124
-93.2299988622217,44.947606692309,0030XX 29TH AVE S,MP2021702751        ,3     ,2021/04/26 00:00:00+00,1018,2021/04/01 00:00:00+00,2021/04/26 10:18:00+00,0,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/04/26 00:00:00+00,11256,-93.23000362,44.94761016,-10378316,5613277,Longfellow,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4125
-93.2511541871628,44.9386350590535,0035XX 16TH AVE S,MP2021702753        ,3     ,2021/04/26 00:00:00+00,1056,2021/04/25 00:00:00+00,2021/04/26 10:56:00+00,1900,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/04/26 00:00:00+00,19534,-93.25116069,44.93863991,-10380671,5611866,Powderhorn Park,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4126
-93.2555379657493,45.0099941638953,0006XX 22ND AVE NE,MP2021702755        ,2     ,2021/04/26 00:00:00+00,1145,2021/04/24 00:00:00+00,2021/04/26 11:45:00+00,0,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/04/26 00:00:00+00,20232,-93.25554596,45.00999472,-10381159,5623095,Holland,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4127
